"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Calculator -- @1.3 ","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Setup Table","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Weaker opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Use Blender with Red Tree Frog -- @1.1 Amphibians","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Stronger opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Use Blender with Galaxy Nexus -- @2.2 Consumer Electronics","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Some scenario","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Calculator -- @1.1 ","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Calculator -- @1.2 ","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Run a simple test","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Weaker opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Subset Result Table Comparison","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Use Blender with iPhone -- @2.1 Consumer Electronics","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Stronger opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Calculator -- @1.4 ","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Execute multiple Steps in middle Step","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Step by Step","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","2","Run a simple test completely in German","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Weaker opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","0","Stronger opponent","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Run a simple test with German Keywords","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Blenders","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","1","Use Blender with apples -- @1.2 Amphibians","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
"","2","Unordered Result Table Comparison (RowFixture Table)","","Thu May 22 18:23:50 CST 2025","passed","Thu May 22 18:23:50 CST 2025","","","",""
